Upper_Age,Region_Code,Reco_Policy_Premium,Reco_Insurance_Type,Lower_Age,Is_Spouse,ID,Holding_Policy_Type,Holding_Policy_Duration,Health Indicator,City_Code,Accomodation_Type,Response
63,1530,20048,Individual,63,No,39,1,1,X1,C10,Rented,0
49,927,22568,Joint,47,Yes,40,3,3,X4,C3,Rented,1
64,1036,19830,Individual,64,No,41,3,14+,,C2,Owned,0
28,3256,5424,Individual,28,No,42,1,3,,C18,Owned,0
56,2843,20310,Individual,56,No,43,1,2,X6,C15,Owned,0
67,2748,19936,Individual,67,No,44,2,14,X1,C24,Owned,1
75,811,22762,Individual,75,No,45,,,X1,C27,Owned,0
42,256,16248,Individual,42,No,46,3,10,X1,C2,Owned,0
21,1475,4182,Individual,21,No,47,,,,C3,Rented,0
71,4373,15678,Individual,71,No,48,3,14+,,C4,Rented,0
57,2858,28260,Joint,55,Yes,49,4,8,X4,C2,Owned,1
73,85,31692.8,Joint,68,Yes,50,4,7,X2,C1,Owned,0
31,947,10112,Individual,31,No,51,,,X2,C1,Rented,0
21,618,9296,Individual,21,No,52,,,X1,C24,Rented,0
19,119,7140,Individual,19,No,53,,,X3,C16,Rented,0
75,3683,22746,Individual,75,No,54,4,7,X4,C2,Owned,0
32,2499,9128,Individual,32,No,55,3,3,X2,C1,Owned,0
48,1016,15180,Individual,48,No,56,3,14+,,C2,Owned,1
65,1876,20520,Individual,65,No,57,,,X4,C2,Owned,1
26,1108,8944,Individual,26,No,58,2,2,,C2,Rented,0
75,1290,24402,Joint,65,Yes,59,,,X1,C25,Owned,0
54,1488,14616,Individual,54,No,60,3,1,,C29,Owned,0
27,1842,7032,Individual,27,No,61,3,1,X3,C17,Rented,0
75,6,19890,Individual,75,No,62,3,5,,C1,Owned,0
33,912,5970,Individual,33,No,63,1,2,X2,C33,Rented,0
75,2980,32832,Joint,74,Yes,64,3,5,X1,C1,Owned,0
20,2200,6850,Individual,20,No,65,,,X1,C25,Rented,1
75,785,17024,Individual,75,No,66,3,3,,C1,Owned,0
30,1901,9240,Individual,30,No,67,3,8,X2,C26,Rented,0
69,1742,16104,Individual,69,No,68,,,X4,C2,Owned,1
23,4068,11536,Individual,23,No,69,,,X1,C2,Owned,1
33,787,12285,Joint,32,Yes,70,,,X4,C25,Rented,0
26,1989,8596,Individual,26,No,71,,,X4,C2,Rented,0
27,2476,11556,Individual,27,No,72,,,X1,C3,Rented,1
31,1471,10926,Individual,31,No,73,1,5,X1,C3,Rented,0
68,2659,15456,Individual,68,No,74,4,1,X2,C2,Owned,0
37,168,16740,Joint,35,Yes,75,3,1,X2,C2,Rented,0
21,3767,8532,Individual,21,No,76,,,,C5,Rented,0
34,1883,9792,Individual,34,No,77,3,6,X4,C8,Owned,0
31,1321,10032,Individual,31,No,78,,,X1,C1,Owned,1
29,4829,11448,Individual,29,No,79,1,5,X3,C2,Owned,0
62,4632,13056,Individual,62,No,80,,,X2,C19,Owned,0
33,2779,6800,Individual,33,No,81,4,3,,C2,Rented,0
73,187,26665.6,Joint,71,Yes,82,,,,C2,Owned,0
21,52,4728,Individual,21,No,83,,,X3,C9,Rented,1
29,1944,9660,Individual,29,No,84,1,6,X1,C1,Owned,0
32,1210,16581.6,Joint,25,Yes,85,,,,C7,Owned,0
30,1506,12420,Individual,30,No,86,4,9,X2,C3,Rented,0
43,4433,13706,Individual,43,No,87,,,X2,C7,Owned,0
58,762,16198,Individual,58,No,88,2,1,,C28,Owned,0
66,1154,24192,Joint,64,Yes,89,3,14+,X4,C1,Owned,1
22,3514,8246,Individual,22,No,90,4,2,X1,C8,Rented,0
38,1734,13608,Joint,34,Yes,91,,,,C2,Owned,0
64,2515,19188,Individual,64,No,92,2,1,,C15,Rented,0
39,2100,12960,Individual,39,No,93,3,1,X4,C6,Rented,0
66,2103,20100,Individual,66,No,94,3,2,X1,C3,Owned,0
20,2079,5512,Individual,20,No,95,,,,C3,Rented,0
60,4553,15624,Individual,60,No,96,1,9,,C28,Rented,0
24,2024,8162,Individual,24,No,97,,,,C7,Owned,1
57,973,13200,Individual,57,No,98,,,X1,C20,Owned,0
41,3132,15598,Individual,41,No,99,,,X1,C2,Owned,0
25,156,8974,Individual,25,No,100,3,2,X4,C1,Rented,0
40,244,8526,Individual,40,No,101,3,14+,,C1,Owned,0
19,3667,7110,Individual,19,No,102,,,,C2,Rented,0
62,2251,24180,Joint,60,Yes,103,3,14+,,C1,Owned,0
38,203,10440,Joint,36,Yes,104,4,10,X2,C2,Rented,0
45,1057,14208,Individual,45,No,105,,,X6,C3,Owned,1
41,1691,16790.4,Joint,37,Yes,106,3,9,X2,C3,Owned,0
67,1818,33840,Joint,48,No,107,,,,C2,Owned,0
26,132,4168,Individual,26,No,108,3,5,,C20,Rented,0
62,585,13332,Individual,62,No,109,,,X3,C12,Owned,0
22,2509,12096,Individual,22,No,110,,,X4,C1,Rented,0
43,831,10692,Individual,43,No,111,1,1,,C19,Rented,0
51,523,17136,Individual,51,No,112,,,X1,C18,Owned,0
56,521,17612,Individual,56,No,113,,,X3,C2,Rented,0
27,1780,9884,Individual,27,No,114,1,1,X2,C10,Rented,0
41,1766,18009,Joint,35,Yes,115,1,1,,C10,Rented,0
25,224,8244,Individual,25,No,116,,,X2,C10,Owned,0
64,3885,16884,Individual,64,No,117,,,X1,C2,Rented,0
22,2788,7944,Individual,22,No,118,,,X1,C5,Rented,0
35,4149,9856,Individual,35,No,119,3,6,X2,C2,Rented,0
69,2082,15048,Individual,69,No,120,3,1,,C26,Owned,0
26,706,6080,Individual,26,No,121,,,,C2,Rented,0
48,2853,16328,Individual,48,No,122,,,X2,C2,Owned,0
45,872,17186,Individual,45,No,123,,,X2,C10,Owned,1
59,1591,12340,Individual,59,No,124,,,X2,C2,Rented,1
49,4199,15624,Individual,49,No,125,1,4,X3,C15,Rented,0
24,2103,6600,Individual,24,No,126,2,1,,C3,Owned,0
67,1993,14520,Individual,67,No,127,3,6,,C1,Owned,0
63,1370,19168,Individual,63,No,128,3,8,,C4,Owned,0
38,150,9456,Individual,38,No,129,3,14+,X3,C34,Owned,0
21,1532,10048,Individual,21,No,130,,,,C13,Owned,0
25,925,4912,Individual,25,No,131,3,2,X3,C2,Rented,1
46,5314,13320,Individual,46,No,132,3,6,,C8,Rented,0
63,2224,18450,Individual,63,No,133,,,X2,C12,Owned,0
35,843,8302,Individual,35,No,134,1,14+,X2,C1,Owned,0
39,154,7536,Individual,39,No,135,3,2,X2,C2,Owned,1
26,1680,11610,Joint,23,Yes,136,1,5,,C15,Rented,0
57,1739,27596.8,Joint,19,No,137,1,1,X1,C16,Owned,0
75,1653,37878.4,Joint,56,Yes,138,,,X4,C1,Owned,0
29,3588,6240,Individual,29,No,139,3,4,,C1,Owned,1
59,996,15312,Individual,59,No,140,1,2,,C13,Owned,0
70,1152,15960,Individual,70,No,141,3,4,X6,C9,Owned,0
28,2271,8764,Individual,28,No,142,2,3,,C16,Rented,1
49,3782,15072,Individual,49,No,143,,,X1,C24,Owned,0
43,626,11250,Individual,43,No,144,3,6,X3,C13,Owned,0
28,534,6480,Individual,28,No,145,,,,C1,Owned,0
59,897,24908.8,Joint,57,Yes,146,3,1,X3,C4,Owned,0
22,2009,7168,Joint,20,Yes,147,,,X3,C16,Rented,1
18,153,5944,Individual,18,No,148,,,X1,C4,Rented,0
31,3815,10136,Individual,31,No,149,3,1,X2,C3,Rented,0
38,746,8302,Individual,38,No,150,2,8,X4,C2,Owned,0
62,1178,21344,Individual,62,No,151,1,2,X1,C18,Owned,0
39,210,13060,Individual,39,No,152,3,11,,C1,Owned,1
30,1315,8652,Individual,30,No,153,3,7,X1,C3,Rented,0
67,662,18048,Individual,67,No,154,3,9,X1,C11,Owned,0
58,3127,16744,Individual,58,No,155,3,4,X1,C14,Owned,0
71,3591,15262,Individual,71,No,156,1,14,X2,C11,Owned,0
35,955,10656,Joint,30,No,157,,,X4,C3,Rented,1
43,68,22536,Joint,42,Yes,158,1,3,,C1,Owned,0
68,1953,14496,Individual,68,No,159,3,5,X5,C4,Owned,1
75,1125,19290,Individual,75,No,160,,,,C3,Owned,0
19,832,5118,Individual,19,No,161,,,X4,C2,Rented,0
26,694,8792,Individual,26,No,162,,,,C11,Rented,0
66,4046,16640,Individual,66,No,163,3,5,,C2,Owned,0
21,783,3696,Individual,21,No,164,,,X1,C3,Rented,0
75,2242,20352,Individual,75,No,165,3,4,X4,C2,Rented,1
39,1176,12014.8,Joint,38,Yes,166,3,14+,X4,C27,Owned,1
75,472,29019,Joint,73,Yes,167,3,14+,,C22,Owned,0
61,2169,15990,Individual,61,No,168,3,1,X2,C2,Owned,0
75,3395,19740,Individual,75,No,169,2,14+,X4,C1,Owned,1
32,2385,11772,Individual,32,No,170,3,4,X4,C6,Owned,0
63,124,27495,Joint,32,Yes,171,,,,C10,Rented,0
62,319,23692.8,Joint,52,Yes,172,,,X2,C11,Owned,1
29,2090,4904,Individual,29,No,173,,,X2,C3,Rented,0
57,3476,15574,Individual,57,No,174,1,3,X3,C19,Rented,0
74,4659,32544,Joint,49,Yes,175,3,14+,X1,C2,Owned,0
44,1183,11740,Individual,44,No,176,1,14+,X3,C9,Rented,0
49,1042,13464,Individual,49,No,177,,,X1,C8,Rented,1
53,377,12900,Individual,53,No,178,2,1,X2,C6,Owned,0
26,513,10764,Individual,26,No,179,,,X1,C18,Rented,1
65,2342,29280,Joint,63,Yes,180,4,1,X5,C1,Owned,0
51,2503,26499.2,Joint,16,No,181,3,2,X2,C7,Owned,0
30,685,11682,Individual,30,No,182,3,4,X2,C7,Rented,0
32,461,11142,Individual,32,No,183,,,,C1,Rented,0
67,1712,26342.4,Joint,56,Yes,184,,,X2,C9,Owned,1
51,194,20882.4,Joint,49,Yes,185,,,X4,C2,Rented,0
67,2398,17836,Individual,67,No,186,,,X1,C1,Rented,0
19,4429,2668,Individual,19,No,187,,,,C4,Rented,0
23,3978,6380,Individual,23,No,188,,,X1,C4,Rented,0
30,1210,11844,Individual,30,No,189,3,8,,C7,Owned,1
49,1798,13464,Individual,49,No,190,3,3,X3,C4,Owned,0
30,2583,10098,Individual,30,No,191,3,6,X1,C4,Rented,0
22,1262,9254,Individual,22,No,192,,,X1,C16,Rented,1
72,2982,17444,Individual,72,No,193,,,X6,C2,Rented,1
24,3340,5768,Individual,24,No,194,3,2,X3,C2,Rented,0
49,2757,17004,Individual,49,No,195,4,1,X4,C33,Owned,1
24,2994,6540,Individual,24,No,196,,,X3,C6,Rented,0
49,3962,10656,Individual,49,No,197,1,5,X3,C4,Owned,0
75,1327,25308,Individual,75,No,198,3,3,X1,C1,Owned,0
75,2340,21744,Individual,75,No,199,3,3,X1,C11,Owned,1
25,2406,6110,Individual,25,No,200,1,5,X3,C9,Rented,0
41,514,11024,Individual,41,No,201,1,7,,C5,Rented,0
67,8,14832,Individual,67,No,202,1,5,X3,C1,Rented,0
75,3372,27731.2,Joint,60,No,203,,,,C11,Rented,0
22,231,10336,Individual,22,No,204,3,2,X1,C6,Rented,0
75,1358,25346,Individual,75,No,205,3,14+,,C9,Rented,0
21,67,18216,Joint,20,No,206,,,,C34,Owned,0
50,2232,24539.2,Joint,49,Yes,207,,,X1,C3,Owned,1
61,3350,21840,Joint,30,Yes,208,1,5,X2,C7,Owned,1
58,302,18956,Individual,58,No,209,,,X2,C2,Rented,1
30,1732,8076,Individual,30,No,210,,,,C1,Rented,0
55,3061,16660,Joint,51,Yes,211,,,X2,C1,Owned,0
66,1342,17368,Individual,66,No,212,3,6,X3,C15,Owned,1
27,80,10688,Individual,27,No,213,,,X1,C23,Rented,0
24,1647,5840,Individual,24,No,214,1,1,X1,C1,Rented,0
23,1939,3264,Individual,23,No,215,,,X1,C20,Rented,1
27,5127,4848,Individual,27,No,216,,,X1,C1,Rented,1
58,910,16996,Individual,58,No,217,4,2,X5,C2,Owned,0
24,703,5463,Joint,23,Yes,218,,,X2,C9,Rented,0
55,748,17500,Individual,55,No,219,,,,C3,Owned,1
72,3029,33264,Joint,69,Yes,220,3,14+,X2,C3,Owned,1
75,599,18600,Individual,75,No,221,4,9,X2,C2,Owned,0
75,5742,19552,Individual,75,No,222,,,X5,C13,Owned,1
29,2391,9128,Individual,29,No,223,3,1,X3,C6,Rented,0
24,915,10048,Individual,24,No,224,4,4,X3,C9,Owned,0
50,71,16822,Individual,50,No,225,,,X2,C3,Owned,0
26,75,12726,Individual,26,No,226,3,1,X1,C5,Rented,0
74,4,30464,Joint,71,Yes,227,,,X2,C1,Owned,0
25,1062,11392,Individual,25,No,228,,,X2,C12,Rented,0
22,1579,4344,Individual,22,No,229,1,2,X1,C15,Rented,0
40,3646,12275.2,Joint,39,Yes,230,2,3,X1,C18,Rented,0
25,1983,9548,Individual,25,No,231,1,5,X1,C6,Rented,0
48,4277,14160,Individual,48,No,232,,,X6,C28,Rented,1
53,3707,14716,Individual,53,No,233,,,X1,C17,Owned,0
23,1534,8652,Individual,23,No,234,,,X1,C4,Owned,0
27,320,10224,Individual,27,No,235,,,X6,C4,Owned,0
49,909,13608,Joint,16,Yes,236,3,3,,C19,Owned,0
52,3395,11484,Individual,52,No,237,,,X6,C1,Rented,1
70,4756,20706,Individual,70,No,238,,,X1,C1,Owned,1
31,567,13053.6,Joint,28,Yes,239,3,4,X4,C3,Owned,0
38,605,10350,Individual,38,No,240,,,,C28,Rented,0
19,4919,8772,Individual,19,No,241,,,X1,C12,Rented,0
30,2444,6756,Individual,30,No,242,,,X2,C19,Rented,0
64,2383,22041.6,Joint,61,Yes,243,1,9,X1,C1,Owned,0
66,829,21080,Individual,66,No,244,3,9,X3,C26,Owned,0
26,188,6972,Individual,26,No,245,,,X4,C17,Rented,0
29,2047,9536,Individual,29,No,246,,,X1,C19,Owned,0
34,3166,12840,Individual,34,No,247,3,4,X4,C7,Rented,1
45,1934,14036,Individual,45,No,248,3,14+,,C2,Owned,1
26,3842,10903.2,Joint,23,Yes,249,,,X2,C5,Owned,0
38,46,15312,Individual,38,No,250,3,13,X5,C1,Owned,0
33,2194,12426.4,Joint,32,Yes,251,,,X4,C2,Rented,1
41,1276,10592,Individual,41,No,252,1,3,X4,C2,Rented,0
48,851,19600,Joint,45,Yes,253,1,1,X1,C3,Owned,0
26,1545,11070,Individual,26,No,254,,,X2,C1,Owned,0
22,191,6540,Individual,22,No,255,1,1,X2,C4,Rented,0
54,742,14400,Individual,54,No,256,3,14+,X2,C4,Rented,1
27,2550,6700,Individual,27,No,257,,,,C15,Owned,1
24,1770,7812,Individual,24,No,258,,,X2,C11,Rented,1
26,1128,7056,Individual,26,No,259,3,2,X2,C1,Rented,0
35,316,20192,Joint,34,Yes,260,3,5,X4,C2,Owned,0
54,4734,20757,Joint,20,Yes,261,,,X4,C2,Owned,0
42,160,13926,Individual,42,No,262,1,14+,X1,C17,Owned,0
38,5146,13000,Individual,38,No,263,1,2,X2,C9,Rented,0
40,3165,13090,Individual,40,No,264,,,X4,C20,Owned,0
56,581,21705.6,Joint,23,Yes,265,1,14+,X1,C1,Owned,0
63,1380,18512,Individual,63,No,266,,,,C19,Rented,1
75,1652,23142,Individual,75,No,267,,,,C19,Owned,0
39,1232,11484,Individual,39,No,268,,,X4,C5,Owned,0
30,1561,6750,Individual,30,No,269,,,X3,C1,Rented,1
23,3198,9282,Individual,23,No,270,2,1,,C4,Rented,0
22,420,6809.6,Joint,21,Yes,271,,,X3,C17,Owned,0
50,1040,28313.6,Joint,42,No,272,,,,C17,Owned,0
22,3886,7992,Individual,22,No,273,,,X1,C1,Rented,1
71,2019,20256,Individual,71,No,274,,,X3,C2,Owned,0
65,1647,21599.2,Joint,64,Yes,275,,,X1,C1,Owned,0
21,4742,8792,Individual,21,No,276,,,X1,C16,Rented,0
35,2628,14586,Individual,35,No,277,,,X2,C3,Rented,1
75,654,23400,Individual,75,No,278,4,3,X4,C2,Owned,0
48,919,22349.6,Joint,37,Yes,279,1,5,X2,C7,Owned,0
24,1306,9632,Individual,24,No,280,3,4,X1,C2,Rented,1
62,154,14586,Individual,62,No,281,1,9,X2,C2,Rented,1
53,2364,13220,Individual,53,No,282,,,X4,C2,Rented,0
23,3208,4920,Individual,23,No,283,,,X2,C8,Owned,0
58,711,19790.4,Joint,55,Yes,284,,,X2,C22,Owned,0
52,616,14928,Individual,52,No,285,,,X4,C1,Owned,1
40,1333,13420,Individual,40,No,286,2,3,X4,C4,Rented,0
52,497,14160,Individual,52,No,287,,,X4,C1,Owned,0
61,2272,20800,Individual,61,No,288,1,11,X3,C1,Owned,0
66,2467,19788,Individual,66,No,289,,,X4,C1,Owned,0
58,5225,13508,Individual,58,No,290,1,5,X3,C21,Owned,0
71,461,17864,Individual,71,No,291,1,14+,X2,C1,Owned,0
43,434,10112,Individual,43,No,292,1,12,X1,C1,Rented,0
26,568,6560,Individual,26,No,293,,,X2,C2,Rented,0
35,1368,7356,Individual,35,No,294,1,11,,C1,Owned,0
50,2763,11160,Individual,50,No,295,3,1,X1,C3,Owned,1
35,139,9648,Individual,35,No,296,3,5,X1,C4,Owned,0
28,3812,10612,Individual,28,No,297,3,4,X1,C2,Rented,1
26,2376,14918.4,Joint,21,Yes,298,,,X1,C5,Rented,0
48,171,10528,Individual,48,No,299,4,14+,,C1,Owned,0
55,1821,22422.4,Joint,36,No,300,2,7,X2,C3,Rented,0
37,4032,7140,Individual,37,No,301,,,X4,C4,Owned,0
47,70,16027.2,Joint,35,Yes,302,1,1,X6,C4,Rented,0
74,2272,21488,Individual,74,No,303,3,14+,,C1,Owned,0
22,55,9282,Individual,22,No,304,,,,C3,Rented,1
50,1013,11340,Individual,50,No,305,2,7,X1,C17,Rented,0
23,667,5440,Individual,23,No,306,,,X4,C6,Owned,0
40,4870,17640,Joint,19,No,307,,,X1,C21,Rented,0
53,2903,14712,Individual,53,No,308,,,X2,C2,Owned,1
75,864,23076,Individual,75,No,309,3,3,X4,C2,Owned,0
47,2152,17394,Individual,47,No,310,,,X1,C2,Owned,0
44,540,26227.2,Joint,19,No,311,,,X1,C9,Rented,0
23,274,8974,Individual,23,No,312,,,,C7,Rented,0
57,1383,22531.6,Joint,50,Yes,313,3,7,X2,C1,Rented,0
31,655,9366,Individual,31,No,314,1,1,X1,C19,Rented,1
39,2222,7548,Individual,39,No,315,1,8,X2,C1,Rented,0
24,3443,7104,Individual,24,No,316,,,X6,C11,Owned,0
30,2187,10992,Individual,30,No,317,,,,C18,Rented,0
20,1266,4008,Individual,20,No,318,,,,C25,Rented,0
45,1707,12760,Individual,45,No,319,4,8,X4,C2,Owned,1
22,389,8568,Individual,22,No,320,,,,C7,Owned,1
27,2329,6590,Individual,27,No,321,,,X2,C2,Owned,0
22,1546,7716,Individual,22,No,322,,,X2,C18,Rented,1
26,1796,11772,Individual,26,No,323,3,1,X3,C10,Rented,0
43,967,11440,Individual,43,No,324,3,11,,C9,Owned,0
35,3635,8508,Individual,35,No,325,1,7,X2,C1,Rented,0
47,2588,9568,Individual,47,No,326,,,,C7,Rented,1
51,3241,16416,Individual,51,No,327,,,X4,C2,Owned,0
72,268,21984,Individual,72,No,328,3,7,X4,C1,Owned,0
27,2904,4704,Individual,27,No,329,,,,C7,Owned,0
26,4160,10944,Individual,26,No,330,,,X3,C1,Rented,0
40,5153,12848,Individual,40,No,331,3,10,X5,C21,Owned,0
24,5294,3960,Individual,24,No,332,,,X1,C2,Rented,0
60,196,14728,Individual,60,No,333,,,X3,C7,Owned,1
54,2510,14064,Individual,54,No,334,,,,C20,Rented,0
27,3420,11448,Individual,27,No,335,,,X1,C2,Rented,0
26,2978,7020,Individual,26,No,336,1,4,,C17,Owned,0
22,28,6780,Individual,22,No,337,,,,C3,Rented,1
24,199,6290,Individual,24,No,338,,,X1,C4,Rented,0
75,3328,32659.2,Joint,22,No,339,2,5,X1,C18,Owned,0
23,414,4896,Individual,23,No,340,,,,C20,Rented,1
35,5203,9920,Individual,35,No,341,1,12,X2,C21,Rented,1
21,3839,5368,Individual,21,No,342,,,X3,C2,Rented,0
60,995,15072,Individual,60,No,343,3,4,X4,C9,Rented,0
51,3742,18116,Individual,51,No,344,2,14+,X2,C17,Owned,1
26,3469,6260,Individual,26,No,345,3,5,,C27,Owned,0
58,746,12140,Individual,58,No,346,,,X2,C2,Owned,1
44,1638,17843.2,Joint,39,No,347,,,X4,C4,Owned,0
40,41,10496,Individual,40,No,348,4,7,X4,C3,Rented,0
55,1819,21516,Joint,42,Yes,349,,,X2,C1,Owned,0
62,832,19776,Individual,62,No,350,,,X1,C2,Owned,0
50,2187,21021,Joint,19,Yes,351,,,X2,C18,Owned,0
43,1322,10288,Individual,43,No,352,3,14,X1,C2,Owned,1
23,2786,4536,Individual,23,No,353,,,,C6,Rented,0
31,560,10136,Individual,31,No,354,1,9,,C2,Rented,0
65,2658,18810,Individual,65,No,355,1,2,,C4,Rented,1
50,3503,18633.6,Joint,49,Yes,356,4,5,X5,C9,Owned,0
21,1511,6900,Individual,21,No,357,,,X2,C22,Rented,1
21,2593,5352,Individual,21,No,358,,,X2,C3,Rented,0
25,1374,7572,Individual,25,No,359,3,5,X3,C23,Rented,0
22,3400,9926,Individual,22,No,360,,,X4,C2,Rented,1
60,5777,22134,Joint,58,Yes,361,4,6,X8,C7,Owned,0
25,142,10832,Individual,25,No,362,,,X2,C1,Rented,0
23,4399,7860,Individual,23,No,363,,,,C21,Rented,0
60,5,25116,Joint,53,Yes,364,1,1,X1,C1,Owned,0
33,2451,8386,Individual,33,No,365,3,3,X1,C25,Rented,0
73,10,31046.4,Joint,67,Yes,366,3,2,X1,C9,Owned,1
48,3728,19373.2,Joint,19,No,367,3,10,X4,C2,Owned,1
57,1238,30060.8,Joint,40,Yes,368,1,1,,C18,Owned,0
25,2108,11178,Individual,25,No,369,3,4,X1,C22,Rented,1
56,84,28896,Joint,45,Yes,370,1,2,,C12,Rented,0
55,1009,12460,Individual,55,No,371,3,1,X4,C9,Owned,0
40,942,9254,Individual,40,No,372,,,X1,C4,Rented,1
67,300,18480,Individual,67,No,373,,,X5,C1,Owned,0
45,5240,19470,Joint,44,Yes,374,3,6,X4,C8,Owned,0
44,1260,21564,Joint,43,Yes,375,,,X2,C1,Owned,1
48,328,11628,Individual,48,No,376,1,4,,C17,Owned,0
41,4300,11682,Individual,41,No,377,3,3,X4,C2,Owned,0
24,122,4944,Individual,24,No,378,,,X6,C6,Rented,0
56,200,15184,Individual,56,No,379,,,,C17,Owned,0
68,1,18656,Individual,68,No,380,1,3,X1,C23,Owned,0
64,3598,18340,Individual,64,No,381,1,8,X1,C2,Rented,0
34,1042,8764,Joint,33,Yes,382,,,,C8,Owned,0
59,2063,14496,Individual,59,No,383,4,4,X7,C33,Owned,0
28,661,6460,Individual,28,No,384,3,1,X1,C2,Owned,1
75,88,16884,Individual,75,No,385,2,14+,,C26,Owned,0
19,4027,3984,Individual,19,No,386,,,X1,C33,Rented,0
25,1253,4736,Individual,25,No,387,1,2,X1,C10,Rented,1
59,4529,26796,Joint,55,Yes,388,3,14,X1,C1,Rented,0
25,697,6140,Individual,25,No,389,,,X1,C1,Rented,0
54,405,23520,Joint,48,Yes,390,3,3,X2,C10,Owned,0
47,2099,11840,Individual,47,No,391,,,X1,C11,Rented,0
29,830,4464,Individual,29,No,392,2,1,,C6,Owned,0
58,1243,23712,Joint,27,No,393,3,4,X3,C3,Owned,1
74,1104,22134,Individual,74,No,394,2,4,X1,C24,Owned,0
53,902,15144,Individual,53,No,395,1,2,X3,C15,Rented,1
54,1590,25500.8,Joint,52,Yes,396,3,3,X2,C11,Owned,1
25,762,5160,Individual,25,No,397,1,1,X3,C28,Rented,0
50,463,18452,Individual,50,No,398,,,X3,C2,Rented,1
27,410,8134,Individual,27,No,399,3,1,X3,C1,Rented,0
52,1834,12978,Individual,52,No,400,1,10,X1,C2,Rented,0
37,1022,13300,Individual,37,No,401,4,2,X4,C9,Owned,0
59,2613,14410,Individual,59,No,402,3,14+,,C2,Owned,0
54,3839,23673,Joint,52,Yes,403,3,9,,C2,Owned,0
66,412,25344,Joint,65,No,404,3,1,,C2,Owned,0
24,103,4248,Individual,24,No,405,,,X1,C9,Rented,1
73,2712,26873.6,Joint,28,No,406,2,14,X2,C9,Owned,1
68,2768,19616,Individual,68,No,407,,,X1,C2,Owned,1
33,961,9744,Individual,33,No,408,3,10,X2,C7,Owned,0
23,309,7380,Individual,23,No,409,,,X2,C16,Rented,0
33,536,9060,Joint,30,Yes,410,,,X1,C6,Owned,0
74,1101,22458.8,Joint,69,Yes,411,,,X3,C1,Owned,0
25,3126,8330,Individual,25,No,412,,,X3,C16,Rented,0
48,67,20692,Joint,18,No,413,4,3,,C34,Owned,0
44,628,10782,Individual,44,No,414,4,1,X1,C4,Owned,0
65,988,18150,Individual,65,No,415,1,1,X2,C19,Owned,0
68,2111,17376,Individual,68,No,416,3,11,X2,C19,Owned,0
23,1176,7068,Individual,23,No,417,,,,C27,Rented,0
74,744,24318,Joint,56,Yes,418,,,,C19,Owned,0
51,29,14180,Individual,51,No,419,1,4,X2,C10,Rented,0
